,Title,Topics,Weakness,Review_Rating
36,LEGO-Prover: Neural Theorem Proving with Growing Libraries,Program Synthesis and Theorem Proving,Clarity and Readability Issues,7.5
37,LLMCarbon: Modeling the End-to-End Carbon Footprint of Large Language Models,Large Language Models and Language Modeling,Experimental Weaknesses and Limitations,6.8
38,LRM: Large Reconstruction Model for Single Image to 3D,Transformers and Sequence Modeling,Clarity and Readability Issues,8.5
39,Latent Trajectory Learning for Limited Timestamps under Distribution Shift over Time,Time Series and Temporal Modeling,Clarity and Readability Issues,8.0
40,Learning Energy Decompositions for Partial Inference in GFlowNets,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
41,Learning Interactive Real-World Simulators,Reinforcement Learning and Control,Clarity and Readability Issues,7.5
42,Less is More: Fewer Interpretable Region via Submodular Subset Selection,Biological Applications in AI,Missing Related Work and Comparisons,7.333333333333333
43,Lipschitz Singularities in Diffusion Models,Diffusion Models and Generative Modeling,Methodological Concerns and Theoretical Justifications,8.0
44,LoftQ: LoRA-Fine-Tuning-aware Quantization for Large Language Models,Large Language Models and Language Modeling,Experimental Weaknesses and Limitations,7.333333333333333
45,LongLoRA: Efficient Fine-tuning of Long-Context Large Language Models,Large Language Models and Language Modeling,Experimental Weaknesses and Limitations,7.0
46,METRA: Scalable Unsupervised RL with Metric-Aware Abstraction,Reinforcement Learning and Control,Clarity and Readability Issues,7.5
47,Mastering Memory Tasks with World Models,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
48,MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts,Large Language Models and Language Modeling,Missing Related Work and Comparisons,7.25
49,Meta Continual Learning Revisited: Implicitly Enhancing Online Hessian Approximation via Variance Reduction,Unclassified,Missing Related Work and Comparisons,9.0
50,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Meta Programming and Multi-Agent Systems,Unclassified,8.0
51,Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space,Diffusion Models and Generative Modeling,Experimental Weaknesses and Limitations,6.75
52,Model Tells You What to Discard: Adaptive KV Cache Compression for LLMs,Large Language Models and Language Modeling,Clarity and Readability Issues,8.0
53,Monte Carlo guided Denoising Diffusion models for Bayesian linear inverse problems.,Diffusion Models and Generative Modeling,Experimental Weaknesses and Limitations,9.333333333333334
54,Multi-Source Diffusion Models for Simultaneous Music Generation and Separation,Diffusion Models and Generative Modeling,Missing Related Work and Comparisons,8.0
55,Multi-granularity Correspondence Learning from Long-term Noisy Videos,Optimization and Training Techniques,Clarity and Readability Issues,8.0
56,Multisize Dataset Condensation,"Data Selection, Pruning, and Condensation",Experimental Weaknesses and Limitations,7.333333333333333
57,Neural Fine-Tuning Search for Few-Shot Learning,Unclassified,Experimental Weaknesses and Limitations,8.0
58,Never Train from Scratch: Fair Comparison of Long-Sequence Models Requires Data-Driven Priors,Transformers and Sequence Modeling,Experimental Weaknesses and Limitations,8.0
59,On the Humanity of Conversational AI: Evaluating the Psychological Portrayal of LLMs,Large Language Models and Language Modeling,Clarity and Readability Issues,4.5
60,"On the Joint Interaction of Models, Data, and Features",Ensembling and Generalization,Methodological Concerns and Theoretical Justifications,7.333333333333333
61,One-shot Empirical Privacy Estimation for Federated Learning,Federated Learning and Privacy,Figures and Visual Aids Improvement,8.0
62,Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement,Unclassified,Clarity and Readability Issues,8.0
63,Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning,Reinforcement Learning and Control,Clarity and Readability Issues,7.333333333333333
64,Predictive auxiliary objectives in deep RL mimic learning in the brain,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
65,Protein Discovery with Discrete Walk-Jump Sampling,Diffusion Models and Generative Modeling,Clarity and Readability Issues,8.0
66,Provable Compositional Generalization for Object-Centric Learning,Self-Supervised Learning and Representation Learning,Clarity and Readability Issues,7.333333333333333
67,Proving Test Set Contamination in Black-Box Language Models,Unclassified,Clarity and Readability Issues,7.5
68,Quick-Tune: Quickly Learning Which Pretrained Model to Finetune and How,Optimization and Training Techniques,Missing Related Work and Comparisons,8.0
69,ReLU Strikes Back: Exploiting Activation Sparsity in Large Language Models,Large Language Models and Language Modeling,Missing Related Work and Comparisons,7.333333333333333
70,Robust agents learn causal world models,"Simulation, Planning, and Agents",Methodological Concerns and Theoretical Justifications,8.0
71,SWE-bench: Can Language Models Resolve Real-world Github Issues?,Software Engineering and Code Understanding,Experimental Weaknesses and Limitations,6.25
72,Self-Alignment with Instruction Backtranslation,Large Language Models and Language Modeling,Evaluation Metrics and Baselines,8.0
73,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Self-Reflection and Self-Alignment in LLMs,Experimental Weaknesses and Limitations,7.5
74,Small-scale proxies for large-scale Transformer training instabilities,Transformers and Sequence Modeling,Experimental Weaknesses and Limitations,8.0
75,"Statistically Optimal
K
-means Clustering via Nonnegative Low-rank Semidefinite Programming",Clustering and Dimensionality Reduction,Clarity and Readability Issues,6.75
76,The mechanistic basis of data dependence and abrupt learning in an in-context classification task,"Interpretability, Explainability, and Evaluation",Clarity and Readability Issues,9.0
77,Topological data analysis on noisy quantum computers,Quantum Computing and Topological Data Analysis,Clarity and Readability Issues,8.0
78,Towards a statistical theory of data selection under weak supervision,"Data Selection, Pruning, and Condensation",Clarity and Readability Issues,7.75
79,Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions,Large Language Models and Language Modeling,Experimental Weaknesses and Limitations,7.0
80,Unified Generative Modeling of 3D Molecules with Bayesian Flow Networks,Diffusion Models and Generative Modeling,Positive Feedback on Novelty and Contributions,8.0
81,Unprocessing Seven Years of Algorithmic Fairness,"Fairness, Ethics, and Privacy",Methodological Concerns and Theoretical Justifications,7.0
82,ValUES: A Framework for Systematic Validation of Uncertainty Estimation in Semantic Segmentation,Uncertainty Estimation and Validation,Methodological Concerns and Theoretical Justifications,7.5
83,Vision Transformers Need Registers,Transformers and Sequence Modeling,Experimental Weaknesses and Limitations,8.0
84,Würstchen: An Efficient Architecture for Large-Scale Text-to-Image Diffusion Models,Diffusion Models and Generative Modeling,Experimental Weaknesses and Limitations,7.0
85,Zipformer: A faster and better encoder for automatic speech recognition,Audio and Speech Processing,Missing Related Work and Comparisons,7.333333333333333
