,Title,Topics,Weakness,Review_Rating
46,"Multi-Rate VAE: Train Once, Get the Full Rate-Distortion Curve",Biological Applications in AI,Clarity and Readability Issues,8.0
47,Near-optimal Coresets for Robust Clustering,Clustering and Dimensionality Reduction,Experimental Weaknesses and Limitations,8.0
48,Near-optimal Policy Identification in Active Reinforcement Learning,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
49,Offline Q-learning on Diverse Multi-Task Data Both Scales And Generalizes,Unclassified,Clarity and Readability Issues,8.0
50,Offline RL with No OOD Actions: In-Sample Learning via Implicit Value Regularization,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
51,On the Sensitivity of Reward Inference to Misspecified Human Models,Reinforcement Learning and Control,Clarity and Readability Issues,6.333333333333333
52,On the duality between contrastive and non-contrastive self-supervised learning,Self-Supervised Learning and Representation Learning,Clarity and Readability Issues,7.75
53,PaLI: A Jointly-Scaled Multilingual Language-Image Model,Unclassified,Missing Related Work and Comparisons,7.5
54,Personalized Federated Learning with Feature Alignment and Classifier Collaboration,Federated Learning and Privacy,Missing Related Work and Comparisons,7.25
55,REVISITING PRUNING AT INITIALIZATION THROUGH THE LENS OF RAMANUJAN GRAPH,Graph Neural Networks and Graph Theory,Experimental Weaknesses and Limitations,7.333333333333333
56,ReAct: Synergizing Reasoning and Acting in Language Models,Unclassified,Experimental Weaknesses and Limitations,8.0
57,Relative representations enable zero-shot latent space communication,Self-Supervised Learning and Representation Learning,Methodological Concerns and Theoretical Justifications,8.666666666666666
58,Rethinking the Expressive Power of GNNs via Graph Biconnectivity,Graph Neural Networks and Graph Theory,Clarity and Readability Issues,8.666666666666666
59,SAM as an Optimal Relaxation of Bayes,Unclassified,Clarity and Readability Issues,6.333333333333333
60,Sample-Efficient Reinforcement Learning by Breaking the Replay Ratio Barrier,Reinforcement Learning and Control,Clarity and Readability Issues,8.0
61,Sampling is as easy as learning the score: theory for diffusion models with minimal data assumptions,Diffusion Models and Generative Modeling,Methodological Concerns and Theoretical Justifications,8.0
62,Scaling Up Probabilistic Circuits by Latent Variable Distillation,Dataset Condensation and Distillation,Experimental Weaknesses and Limitations,8.0
63,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,Large Language Models and Language Modeling,Clarity and Readability Issues,7.6
64,SimPer: Simple Self-Supervised Learning of Periodic Targets,Self-Supervised Learning and Representation Learning,Clarity and Readability Issues,8.666666666666666
65,Simplified State Space Layers for Sequence Modeling,Transformers and Sequence Modeling,Clarity and Readability Issues,8.0
66,Sparse Mixture-of-Experts are Domain Generalizable Learners,Ensembling and Generalization,Methodological Concerns and Theoretical Justifications,6.75
67,Statistical Efficiency of Score Matching: The View from Isoperimetry,Unclassified,Clarity and Readability Issues,8.0
68,Symbolic Physics Learner: Discovering governing equations via Monte Carlo tree search,Unclassified,Missing Related Work and Comparisons,8.0
69,Tailoring Language Generation Models under Total Variation Distance,Biological Applications in AI,Missing Related Work and Comparisons,8.666666666666666
70,Targeted Hyperparameter Optimization with Lexicographic Preferences Over Multiple Objectives,Optimization and Training Techniques,Clarity and Readability Issues,8.0
71,Temporal Domain Generalization with Drift-Aware Dynamic Neural Networks,Time Series and Temporal Modeling,Methodological Concerns and Theoretical Justifications,6.0
72,The Lie Derivative for Measuring Learned Equivariance,Unclassified,Missing Related Work and Comparisons,8.0
73,The Modality Focusing Hypothesis: Towards Understanding Crossmodal Knowledge Distillation,Multimodal Learning and Vision-Language Models,Methodological Concerns and Theoretical Justifications,7.333333333333333
74,The Role of Coverage in Online Reinforcement Learning,Reinforcement Learning and Control,Clarity and Readability Issues,7.0
75,Time Will Tell: New Outlooks and A Baseline for Temporal Multi-View 3D Object Detection,Computer Vision and 3D Modeling,Methodological Concerns and Theoretical Justifications,8.0
76,Token Merging: Your ViT But Faster,Optimization and Training Techniques,Clarity and Readability Issues,8.0
77,Towards Open Temporal Graph Neural Networks,Graph Neural Networks and Graph Theory,Clarity and Readability Issues,6.5
78,Towards Stable Test-time Adaptation in Dynamic Wild World,Unclassified,Clarity and Readability Issues,7.25
79,"Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning",Biological Applications in AI,Methodological Concerns and Theoretical Justifications,9.0
80,Transfer NAS with Meta-learned Bayesian Surrogates,Unclassified,Missing Related Work and Comparisons,7.333333333333333
81,Transformers Learn Shortcuts to Automata,Transformers and Sequence Modeling,Clarity and Readability Issues,8.0
82,Transformers are Sample-Efficient World Models,Diffusion Models and Generative Modeling,Missing Related Work and Comparisons,8.0
83,Universal Few-shot Learning of Dense Prediction Tasks with Visual Token Matching,Unclassified,Clarity and Readability Issues,9.333333333333334
84,View Synthesis with Sculpted Neural Points,Unclassified,Clarity and Readability Issues,7.0
85,Visual Classification via Description from Large Language Models,Large Language Models and Language Modeling,Experimental Weaknesses and Limitations,8.0
86,"When and Why Vision-Language Models Behave like Bags-Of-Words, and What to Do About It?",Optimization and Training Techniques,Clarity and Readability Issues,7.0
87,WikiWhy: Answering and Explaining Cause-and-Effect Questions,Biological Applications in AI,Clarity and Readability Issues,7.333333333333333
88,Win: Weight-Decay-Integrated Nesterov Acceleration for Adaptive Gradient Algorithms,Optimization and Training Techniques,Clarity and Readability Issues,8.0
89,​​What learning algorithm is in-context learning? Investigations with linear models,Transformers and Sequence Modeling,Clarity and Readability Issues,8.0
