Unnamed: 0,Title,Keywords,Classification
44,LoftQ: LoRA-Fine-Tuning-aware Quantization for Large Language Models,"Keywords: quantization, compression, large language models, NLP, machine learning, low rank",Large Language Models and Language Modeling
45,LongLoRA: Efficient Fine-tuning of Long-Context Large Language Models,"Keywords: Efficient fine-tuning, Long context, Large language model",Large Language Models and Language Modeling
46,METRA: Scalable Unsupervised RL with Metric-Aware Abstraction,Keywords: reinforcement learning,Reinforcement Learning and Control
47,Mastering Memory Tasks with World Models,"Keywords: model-based reinforcement learning, state space models, memory in reinforcement learning",Reinforcement Learning and Control
48,MathVista: Evaluating Mathematical Reasoning of Foundation Models in Visual Contexts,"Keywords: large language models, large multimodal models, mathematical reasoning, vision-language reasoning, foundation models and their evaluations",Large Language Models and Language Modeling
49,Meta Continual Learning Revisited: Implicitly Enhancing Online Hessian Approximation via Variance Reduction,Keywords: Continual Learning,Unclassified
50,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,"Keywords: Autonomous Agent, Meta Programming, Multi-Agent Society, Group Intelligence",Meta Programming and Multi-Agent Systems
51,Mixed-Type Tabular Data Synthesis with Score-based Diffusion in Latent Space,"Keywords: Tabular data, tabular generation, diffusion models",Diffusion Models and Generative Modeling
52,Model Tells You What to Discard: Adaptive KV Cache Compression for LLMs,"Keywords: Large Language Model, Efficient Inference, Generative Inference, Key-Value Cache",Large Language Models and Language Modeling
53,Monte Carlo guided Denoising Diffusion models for Bayesian linear inverse problems.,"Keywords: Monte Carlo, Denoising Diffusion model, score-based generative models, Sequential Monte Carlo, Bayesian Inverse Problems, Generative Models.",Diffusion Models and Generative Modeling
54,Multi-Source Diffusion Models for Simultaneous Music Generation and Separation,"Keywords: source separation, probabilistic diffusion models, music generation",Diffusion Models and Generative Modeling
55,Multi-granularity Correspondence Learning from Long-term Noisy Videos,"Keywords: Video-language pre-training, Noisy correspondence",Optimization and Training Techniques
56,Multisize Dataset Condensation,"Keywords: Dataset Condensation, Dataset Distillation, Image Classification","Data Selection, Pruning, and Condensation"
57,Neural Fine-Tuning Search for Few-Shot Learning,"Keywords: stochastic, neural, architecture, search, few, shot, learning, adapters",Unclassified
58,Never Train from Scratch: Fair Comparison of Long-Sequence Models Requires Data-Driven Priors,"Keywords: Pre Training, Transformers, State Space Models, Long Range Models, Fair Evaluation",Transformers and Sequence Modeling
59,On the Humanity of Conversational AI: Evaluating the Psychological Portrayal of LLMs,"Keywords: LLM, Benchmark, Evaluation, Psychometrics",Large Language Models and Language Modeling
60,"On the Joint Interaction of Models, Data, and Features","Keywords: Generalization, feature learning, empirical phenomena",Ensembling and Generalization
61,One-shot Empirical Privacy Estimation for Federated Learning,"Keywords: differential privacy, federated learning, empirical privacy",Federated Learning and Privacy
62,Phenomenal Yet Puzzling: Testing Inductive Reasoning Capabilities of Language Models with Hypothesis Refinement,"Keywords: language model, natural language processing, inductive reasoning",Unclassified
63,Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning,"Keywords: reinforcement learning, pre-training, goal-conditioned RL, open-world environments",Reinforcement Learning and Control
64,Predictive auxiliary objectives in deep RL mimic learning in the brain,"Keywords: hippocampus, neuroscience, cognitive science, deep reinforcement learning, representation learning, prediction",Reinforcement Learning and Control
65,Protein Discovery with Discrete Walk-Jump Sampling,"Keywords: generative modeling, langevin mcmc, energy-based models, score-based models, protein design, protein discovery",Diffusion Models and Generative Modeling
66,Provable Compositional Generalization for Object-Centric Learning,"Keywords: compositional generalization, identifiability, object-centric learning, generalization, OOD generalization, unsupervised learning, slot attention, disentanglement, autoencoders, representation learning",Self-Supervised Learning and Representation Learning
67,Proving Test Set Contamination in Black-Box Language Models,"Keywords: language modeling, memorization, dataset contamination",Unclassified
68,Quick-Tune: Quickly Learning Which Pretrained Model to Finetune and How,"Keywords: Finetuning, pretrained model hubs, transfer learning, hyperparameter optimization, meta-learning",Optimization and Training Techniques
69,ReLU Strikes Back: Exploiting Activation Sparsity in Large Language Models,"Keywords: Large Language Models, Sparsity, Activation Function, ReLU Activation Function",Large Language Models and Language Modeling
70,Robust agents learn causal world models,"Keywords: causality, generalisation, causal discovery, domain adaptation, out-of-distribution generalization","Simulation, Planning, and Agents"
71,SWE-bench: Can Language Models Resolve Real-world Github Issues?,"Keywords: Language models, Natural language processing, Software engineering",Software Engineering and Code Understanding
72,Self-Alignment with Instruction Backtranslation,"Keywords: large language models, self-supervised learning, data augmentation",Large Language Models and Language Modeling
73,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection","Keywords: Retrieval-augmented Generation, Language Models, Retrieval-augmented LMs, Factuality",Self-Reflection and Self-Alignment in LLMs
74,Small-scale proxies for large-scale Transformer training instabilities,"Keywords: Small Transformers, Training, Stability",Transformers and Sequence Modeling
75,"Statistically Optimal
K
-means Clustering via Nonnegative Low-rank Semidefinite Programming","Keywords: clustering, Burer-Monteiro, semidefinite programming",Clustering and Dimensionality Reduction
76,The mechanistic basis of data dependence and abrupt learning in an in-context classification task,"Keywords: in-context learning, mechanistic interpretability, language models, induction heads","Interpretability, Explainability, and Evaluation"
77,Topological data analysis on noisy quantum computers,"Keywords: Topological data analysis, quantum computing, unsupervised learning, feature extraction",Quantum Computing and Topological Data Analysis
78,Towards a statistical theory of data selection under weak supervision,"Keywords: Data Selection, Empirical Risk Minimization, Influence Functions, High dimensional asymptotics","Data Selection, Pruning, and Condensation"
79,Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions,"Keywords: In-context learning, Transformers, Large language models, Boolean functions",Large Language Models and Language Modeling
80,Unified Generative Modeling of 3D Molecules with Bayesian Flow Networks,"Keywords: Drug Design, Molecule Generation, Deep Learning, Computational Biology",Diffusion Models and Generative Modeling
81,Unprocessing Seven Years of Algorithmic Fairness,"Keywords: fairness, algorithmic fairness, social computing, tabular data, meta study","Fairness, Ethics, and Privacy"
82,ValUES: A Framework for Systematic Validation of Uncertainty Estimation in Semantic Segmentation,"Keywords: uncertainty, segmentation, validation",Uncertainty Estimation and Validation
83,Vision Transformers Need Registers,"Keywords: representation, vision, transformer, register, SSL, CLIP, attention, attention map, interpretability, DINO, DINOv2",Transformers and Sequence Modeling
84,Würstchen: An Efficient Architecture for Large-Scale Text-to-Image Diffusion Models,"Keywords: Latent Diffusion Model, Text-to-Image, Neural Architectures, Foundation Models",Diffusion Models and Generative Modeling
85,Zipformer: A faster and better encoder for automatic speech recognition,"Keywords: Zipformer, ScaledAdam, automatic speech recognition",Audio and Speech Processing
