Unnamed: 0,Title,Keywords,Classification
58,Rethinking the Expressive Power of GNNs via Graph Biconnectivity,"Keywords: Graph Neural Networks, Expressive Power, Weisfeiler-Lehman test, Graph Transformer, Biconnectivity",Graph Neural Networks and Graph Theory
59,SAM as an Optimal Relaxation of Bayes,"Keywords: bayesian deep learning, sharpness-aware minimization, variational bayes, convex duality",Unclassified
60,Sample-Efficient Reinforcement Learning by Breaking the Replay Ratio Barrier,"Keywords: reinforcement learning, sample efficiency, resets",Reinforcement Learning and Control
61,Sampling is as easy as learning the score: theory for diffusion models with minimal data assumptions,"Keywords: diffusion models, score-based generative models, sampling, score estimation, Langevin, stochastic differential equations",Diffusion Models and Generative Modeling
62,Scaling Up Probabilistic Circuits by Latent Variable Distillation,-''-,Dataset Condensation and Distillation
63,Selection-Inference: Exploiting Large Language Models for Interpretable Logical Reasoning,"Keywords: System 2, Logical reasoning, Language Models, Large Language Models, Reasoning, Neuro-symbolic, Neural Symbolic, Interpretability",Large Language Models and Language Modeling
64,SimPer: Simple Self-Supervised Learning of Periodic Targets,"Keywords: Periodic learning, Self-supervised learning, Representation learning, Periodic targets, Periodicity",Self-Supervised Learning and Representation Learning
65,Simplified State Space Layers for Sequence Modeling,"Keywords: sequence models, state space, S4, RNN, transformers, long range arena",Transformers and Sequence Modeling
66,Sparse Mixture-of-Experts are Domain Generalizable Learners,"Keywords: domain generalization, mixture-of-experts, algorithmic alignment, visual attributes",Ensembling and Generalization
67,Statistical Efficiency of Score Matching: The View from Isoperimetry,"Keywords: score matching, log-Sobolev inequality, isoperimetry, relative efficiency, sample complexity",Unclassified
68,Symbolic Physics Learner: Discovering governing equations via Monte Carlo tree search,"Keywords: symbolic regression, Monte Carlo tree search, governing equations, nonlinear dynamics",Unclassified
69,Tailoring Language Generation Models under Total Variation Distance,"Keywords: language generation, maximum likelihood estimation, total variation distance, text degeneration",Biological Applications in AI
70,Targeted Hyperparameter Optimization with Lexicographic Preferences Over Multiple Objectives,"Keywords: Automatic Machine learning, Hyperparameter tuning, Lexicographic preference",Optimization and Training Techniques
71,Temporal Domain Generalization with Drift-Aware Dynamic Neural Networks,"Keywords: Domain Generalization, Sequential Learning Model, Dynamic Neural Network",Time Series and Temporal Modeling
72,The Lie Derivative for Measuring Learned Equivariance,-''-,Unclassified
73,The Modality Focusing Hypothesis: Towards Understanding Crossmodal Knowledge Distillation,"Keywords: multimodal learning, knowledge distillation",Multimodal Learning and Vision-Language Models
74,The Role of Coverage in Online Reinforcement Learning,"Keywords: reinforcement learning theory, online RL, offline RL, learnability, general function approximation",Reinforcement Learning and Control
75,Time Will Tell: New Outlooks and A Baseline for Temporal Multi-View 3D Object Detection,"Keywords: Computer Vision, 3D Object Detection, Stereo Matching",Computer Vision and 3D Modeling
76,Token Merging: Your ViT But Faster,"Keywords: token merging, token pruning, inference speed, training speed, throughput, off-the-shelf, fine tuning",Optimization and Training Techniques
77,Towards Open Temporal Graph Neural Networks,"Keywords: Temporal Graph Neural Networks, Open Temporal Graphs, Class-Incremental Learning",Graph Neural Networks and Graph Theory
78,Towards Stable Test-time Adaptation in Dynamic Wild World,"Keywords: Test-time adaptation, Roustness",Unclassified
79,"Towards Understanding Ensemble, Knowledge Distillation and Self-Distillation in Deep Learning","TL;DR: We provide a theory to explain why ensemble and knowledge distillation work for Deep Learning. It matches practice well, while traditional theory such as boosting, random feature mappings or NTKs, cannot explain the same phenomena for DL.",Biological Applications in AI
80,Transfer NAS with Meta-learned Bayesian Surrogates,-''-,Unclassified
81,Transformers Learn Shortcuts to Automata,"Keywords: Transformer, self-attention, group theory, semigroup theory, algebraic automata theory, shortcut learning, theory of deep learning",Transformers and Sequence Modeling
82,Transformers are Sample-Efficient World Models,"Keywords: deep learning, reinforcement learning, model-based reinforcement learning, world models, learning in imagination, transformers, discrete autoencoders, generative modeling, sequence modeling",Diffusion Models and Generative Modeling
83,Universal Few-shot Learning of Dense Prediction Tasks with Visual Token Matching,"Keywords: few-shot learning, dense prediction tasks",Unclassified
84,View Synthesis with Sculpted Neural Points,-''-,Unclassified
85,Visual Classification via Description from Large Language Models,"Keywords: vision-language models, CLIP, prompting, GPT-3, large language models, zero-shot recognition, multimodal",Large Language Models and Language Modeling
86,"When and Why Vision-Language Models Behave like Bags-Of-Words, and What to Do About It?","Keywords: vision-language models, clip, contrastive learning, retrieval, vision-language pretraining, multimodal representation learning",Optimization and Training Techniques
87,WikiWhy: Answering and Explaining Cause-and-Effect Questions,"Keywords: NLP, Question Answering, LLM, Dataset, Explanation",Biological Applications in AI
88,Win: Weight-Decay-Integrated Nesterov Acceleration for Adaptive Gradient Algorithms,"Keywords: Optimization acceleration in deep learning, network optimizers, deep learning optimizer, deep learning algorithm",Optimization and Training Techniques
89,​​What learning algorithm is in-context learning? Investigations with linear models,"Keywords: in-context learning, transformers, sequence models, deep learning, meta learning",Transformers and Sequence Modeling
