Unnamed: 0,Title,Keywords,Classification
27,Learning to Balance: Bayesian Meta-Learning for Imbalanced and Out-of-distribution Tasks,"Abstract: While tasks could come with varying the number of instances and classes in realistic settings, the existing meta-learning approaches for few-shot classification assume that number of instances per task and class is fixed. Due to such restriction, they learn to equally utilize the meta-knowledge across all the tasks, even when the number of instances per task and class largely varies. Moreover, they do not consider distributional difference in unseen tasks, on which the meta-knowledge may have less usefulness depending on the task relatedness. To overcome these limitations, we propose a novel meta-learning model that adaptively balances the effect of the meta-learning and task-specific learning within each task. Through the learning of the balancing variables, we can decide whether to obtain a solution by relying on the meta-knowledge or task-specific learning. We formulate this objective into a Bayesian inference framework and tackle it using variational inference. We validate our Bayesian Task-Adaptive Meta-Learning (Bayesian TAML) on two realistic task- and class-imbalanced datasets, on which it significantly outperforms existing meta-learning approaches. Further ablation study confirms the effectiveness of each balancing component and the Bayesian learning framework.",Biological Applications in AI
28,Mathematical Reasoning in Latent Space,AddPublic Comment,Mathematical Reasoning and Theorem Proving
29,Meta-Learning with Warped Gradient Descent,"Keywords: meta-learning, transfer learning",Multitask and Transfer Learning
30,Meta-Q-Learning,TL;DR: MQL is a simple off-policy meta-RL algorithm that recycles data from the meta-training replay buffer to adapt to new tasks.,Optimization and Training Techniques
31,Mirror-Generative Neural Machine Translation,...,Unclassified
32,Mogrifier LSTM,TL;DR: An LSTM extension with state-of-the-art language modelling results.,Unclassified
33,Neural Network Branching for Neural Network Verification,-''-,Unclassified
34,On the Convergence of FedAvg on Non-IID Data,AddPublic Comment,Unclassified
35,Optimal Strategies Against Generative Attacks,...,Biological Applications in AI
36,Posterior sampling for multi-agent reinforcement learning: solving extensive games with imperfect information,...,Reinforcement Learning and Control
37,Principled Weight Initialization for Hypernetworks,...,Unclassified
38,RNA Secondary Structure Prediction By Learning Unrolled Algorithms,"Keywords: RNA secondary structure prediction, learning algorithm, deep architecture design, computational biology",Unclassified
39,Reformer: The Efficient Transformer,-''-,Transformers and Sequence Modeling
40,Restricting the Flow: Information Bottlenecks for Attribution,"Keywords: Attribution, Informational Bottleneck, Interpretable Machine Learning, Explainable AI",Biological Applications in AI
41,Rotation-invariant clustering of neuronal responses in primary visual cortex,...,Clustering and Dimensionality Reduction
42,SEED RL: Scalable and Efficient Deep-RL with Accelerated Central Inference,"Keywords: machine learning, reinforcement learning, scalability, distributed, DeepMind Lab, ALE, Atari-57, Google Research Football",Reinforcement Learning and Control
43,Target-Embedding Autoencoders for Supervised Representation Learning,...,Self-Supervised Learning and Representation Learning
44,Understanding and Robustifying Differentiable Architecture Search,-''-,Unclassified
45,Watch the Unobserved: A Simple Approach to Parallelizing Monte Carlo Tree Search,AddPublic Comment,Unclassified
46,Why Gradient Clipping Accelerates Training: A Theoretical Justification for Adaptivity,AddPublic Comment,Optimization and Training Techniques
47,Your classifier is secretly an energy based model and you should treat it like one,-''-,Unclassified
