"Papers_Title","Papers_Keywords","Papers_OfficialReview_list2_StrengthandWeak","Papers_OfficialReview_list2_Rating","Papers_OfficialReview_list2_Confidence"
"Generalization in diffusion models arises from geometry-adaptive harmonic representations","Keywords: diffusion models, memorization, generalization, inductive bias, curse of dimensionality, denoising, geometry-adaptive harmonic basis","The paper's results were obtained using a straightforward CNN architecture. However, prior studies have indicated that CNN architectures can effectively learn and utilize harmonic bases (https://arxiv.org/abs/1810.12136). In my opinion, the paper's only weakness lies in not acknowledging this perspective that has been previously established in the literature.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Generalization in diffusion models arises from geometry-adaptive harmonic representations","Keywords: diffusion models, memorization, generalization, inductive bias, curse of dimensionality, denoising, geometry-adaptive harmonic basis","further validation on a more realistic data might be beneficial to strengthen the main points of the paper
lack of any sort of description of more ""general DNN GAHBs""","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions","Keywords: In-context learning, Transformers, Large language models, Boolean functions","I don't see any major weakness.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions","Keywords: In-context learning, Transformers, Large language models, Boolean functions","I am not sure which is the message of this paper compared to previous work. It has already been observed that transformers can ""choose"" between algorithms in [1], while we already knew that there are some tasks that transformers perform well and some others that they don't. I think that all the observations in this paper have been observed in different settings in other papers, thus I consider the contribution marginal.
[1]: Bai, Yu, et al. ""Transformers as Statisticians: Provable In-Context Learning with In-Context Algorithm Selection."" arXiv preprint arXiv:2306.04637 (2023).","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions","Keywords: In-context learning, Transformers, Large language models, Boolean functions","The takeaway messages are a bit unclear to me. [Update: The authors have clarified in the rebuttal. I hope the changes could be reflected in the revised paper.]
Some results could be better presented and explained.","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Understanding In-Context Learning in Transformers and LLMs by Learning to Learn Discrete Functions","Keywords: In-context learning, Transformers, Large language models, Boolean functions","The author claimed that TFs can learn two distinct algorithms on tasks such as conjunctions, which is not that convincing to me.
Let's take figure 3 as an example and let's call the four sub-figure a to d from the left to the right. The way that authors compared these four figures and draw conclusions is that: they compare a and b, and the compare c with d, then they drew conclusion that the trained TFs can learn two distinct algorithms. This is not a good way for comparison. This is because one can easily give a counter-example to show that a single algorithm can simultaneously achieve a and b. For example, suppose the algorithm that TFs learn is: randomly pick one decision rule (or Boolean function) which is in the conjunction function class and agrees with all examples in the test context (the x_i, y_i pairs at test time). Then, when tested on teach conjunction (fig a), since there is only one conjunction function matching all test context, it will achieve a perfect accuracy. When tested with random sequence of examples from a conjunction task, there can be many functions in the conjunction function class that satisfying all test examples, so it can achieve a imperfect performance. Similar logic applies on the comparison between c and d.
At a high level, if you want to show the trained TFs can learn two distinct algorithms, it is not a good idea to show that they achieve different performance on different test examples but trained on same data distribution, It is better to show that they achieve different performance when trained on different data distribution, but tested on the same examples. In this case, you should compare figure b and c to draw your conclusion, instead of comparing a and b. The reason behind this is that the in-context learning is specific to the pre-training distribution, and it s very natural that they learn different algorithms on different pre-training distributions.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"The mechanistic basis of data dependence and abrupt learning in an in-context classification task","Keywords: in-context learning, mechanistic interpretability, language models, induction heads","Although I consider the analysis presented a tour de force, possessing all the strengths describe above, it is not perfectly clear that the analysis of the 2-3 parameter reduction would carry over to the full 2-attention-head network of Figure 1c. A hunch I have is that the L=N case might not be quite as susceptible to failure in the full network because the full network might have a more complex loss landscape with a lower likelihood of being initialized in a place in that landscape that doesn't allow a complete solution. An important and simple step toward addressing this would be to repeat the L = N simulation in the full network. If the full network fails to learn in that case, it would confirm the applicability of the analysis to the full network. Success would not fully invalidate the analysis, but would leave something left to explain.
More generally, I believe more consideration of what will happen in a larger model will be useful for the field. Clearly things will not work just in the way they do in these reductions when the task is learned in a larger transformer. While fuller characterization of that will be a task for future work, noting this issue as a limitation of the present effort and pointing considering how these results inform us about what is happening in LLMs will be valuable.
There are two less important weaknesses I'd like to see addressed.
First, I don't feel I have an intuitive understanding of why the loss landscape of the 3 parameter model does not have a saddle point at the point were all three parameters are equal to 0. Perhaps an understanding of this is latent in the equations and I could work it out with a bit of effort, but to help me (and possibly others) understand, it would be useful if the authors could work out such an intuitive understanding. Such an understanding could help address reasons why the behaviors of the 2- and 3-parameter reduced models might or might not be applicable to the full model.
Second, paper is harder to read than it should be. The main deficiency of the paper was its failure to take cognizance of the difficulty of extended chains of arbitrary associative bindings requiring long-distance leaps across context. It is just such binding that lie at the heart of the mechanisms the authors are investigating, but they are hard for human readers when arbitrary as they often were in this paper.
As examples, we are treated to terms like the former vs the latter as referring expressions, arbitrary labels (a-d) for key phenomena, random ordering of the assignments of these labels to lines in graphs, arbitrary labels for hypotheses (I-V), and the unhelpful placement of figures (esp fig 4) on pages remote from the place in the paper where they are discussed. Although ultimately the conclusions are stated in (what I find myself to be) conceptual terms, there should be engagement with this conceptual structure in the referential expressions used. I know space is limited, but I'm sure it is possible to do a better job. As examples, H3 could be abbreviated sCLA -> ILA+TILA (slow-learned context-label attention -> Item-label attention and Target-item-label association). Just let a,b,c,d and I-V go. H4 and H5 should each be expressed directly, or at the very least the order of defining the symbols x and 0/ should correspond to their order of appearance in these hypotheses.
I am also not sure that the difficulty of the L=N case in the","10: strong accept, should be highlighted at the conference","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"The mechanistic basis of data dependence and abrupt learning in an in-context classification task","Keywords: in-context learning, mechanistic interpretability, language models, induction heads","The paper can be improved in terms of writing/presentation. For example, you can explain early on in the paper what ""induction head"" means for readers that are less familiar with this area.
There are also several other parts of the paper in which the writing can be improved -- mostly by writing simpler/shorter/more clear sentences.","10: strong accept, should be highlighted at the conference","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"The mechanistic basis of data dependence and abrupt learning in an in-context classification task","Keywords: in-context learning, mechanistic interpretability, language models, induction heads","In a sense, the paper is tantalizing, as it invites further work, for instance on the interplay of overlap difference \xi and data Zipfianity parameter \alpha.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"The mechanistic basis of data dependence and abrupt learning in an in-context classification task","Keywords: in-context learning, mechanistic interpretability, language models, induction heads","I have the following concerns about this paper. Many of them involve claims that I feel are made too strongly in the paper relative to the level of evidence provided.
-- The paper illustrates a set of phenomena in figure 2, and promises a mechanistic understanding of these phenomena. But the mechanistic analysis provided later in the paper does not speak to most of the phenomenology -- for instance, the dependence of the ICL/IWL tradeoff on B, epsilon, K, and alpha. In fact, the mechanistic analysis focuses on the p_C > 0 case, which is different from the p_c = 0 regime that gives rise to all the tradeoffs observed in Figure 2. Thus, the connection between pages 1-4 of the paper and the rest is not entirely clear.
-- -- The following sentence, while intuitively reasonable, is written as a key strong claim and as far as I can tell is not really justified with evidence: ""Therefore, the relative rates at which the network acquires ICL and IWL control the fraction of loss explained by each mechanism after convergence.""
-- The paper makes strong causal claims based only on correlational evidence. For instance, ""Induction head formation drives the abrupt transition during ICL."" As far as I can tell no evidence is given for this claim, other than the (very suggestive, I agree!) fact that they coincide in time.
-- The paper makes strong claims about the three-parameter model proving or ruling out certain hypotheses. An example is the sentence ""This rules out hypothesis V as only the factors corresponding to the progress measures (a) through (d) have been included in the minimal model."" In my opinion, such claims are much too strong. The three-parameter model is ultimately a different model from the original transformer architecture being used! While the analysis of its behavior is suggestive of the learning strategies used by the original architecture, it is not conclusive. The strength of the claims should be adjusted accordingly.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Improved Techniques for Training Consistency Models","Keywords: Consistency Models, Consistency Training, Diffusion Models, Score-Based Generative Models, Score-Based Diffusion Models, Distillation","If I remember correctly, in the original consistency model, the teacher set to have EMA is more of an empirical decision. Using the same network as the student (with STOPGRAD operation) is definitely reasonable and even more intuitive (we want the model to be consistent with itself). Thus, I am not against dropping the EMA component, if it means better empirical performances.
However, I do not feel the theoretical analysis presented in Sec.3.2 is justified. Note since I believe the main contribution of the paper is an empirical one, my complaint here does not change my assessment of the paper significantly. Still, I would appreciate it if the authors could clarify my concerns here.
I think Eq.6 applies no matter the relation between
θ
and
θ−
, no?
In Eq.7, why are we looking at the gradient scaled by
1/Δσ
? If we look at just the pure gradient, it should be 0 if
θ=θ−
, and some finite value associated with their difference if not, and furthermore, the difference between
θ
and
ξ
disappears. It may look like the loss function has nothing to do with learning the correct parameter
ξ
like the authors suggest in the second last paragraph in Sec.3.2. However, to me, this is not a surprise and totally expected. The self-consistency loss itself does not really force the network to learn anything correctly, i.e. the model could just predict a constant no matter the input and still be considered consistent with itself. In my understanding, it is really the boundary condition enforced through parameterizations that makes the model work, which is not a fact used in this toy example.
In the current version, I am curious as to what the authors have in mind about ""if the consistency loss either does not exist or is unsuitable"". This notion does not seem to be explained well.","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Improved Techniques for Training Consistency Models","Keywords: Consistency Models, Consistency Training, Diffusion Models, Score-Based Generative Models, Score-Based Diffusion Models, Distillation","W1: The choice to use the pseudo-Huber loss is not entirely convincing, as its effectiveness appears sensitive to the chosen constant value, and it offers negligible improvements over the tuning-free LPIPS loss, which is known for its alignment with human perception and computational efficiency, especially in pixel-space models.
W2: Apart from the significant change of removing EMA, the other enhancements resemble engineering optimizations rather than foundational advances. Their relevance to broader applications is questionable, especially since the empirical evaluation is limited to smaller datasets like CIFAR-10 and ImageNet-64x64. Expanding experiments to include higher-resolution images on ImageNet or more varied datasets such as COCO or LAION could substantiate the model's versatility.
W3: The training speed for the consistency model is comparatively slow, especially when compared with models like GANs. It would be insightful if the authors could address this aspect and discuss its implications for scaling to larger datasets.
W4: The applicability of consistency training appears confined to training unguided models, which significantly underperform in applications such as text-to-image generation.","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Improved Techniques for Training Consistency Models","Keywords: Consistency Models, Consistency Training, Diffusion Models, Score-Based Generative Models, Score-Based Diffusion Models, Distillation","This paper functions primarily as a technical exploration, compiling successful practices in training diffusion models. While it includes numerous ablation studies, it lacks sufficient theoretical backing to fully support these practices.
The paper’s improved training schemes do allow the consistency model to avoid relying on a pre-trained diffusion model. However, its theoretical basis still seems anchored in diffusion model principles. It would be beneficial if the authors explored the broader potential of the consistency training scheme. Specifically, whether this training would be effective when the generation process is not the reverse of a diffusion process but a more general corruption process, such as those described in [1] and [2].
[1] Bansal, A., Borgnia, E., Chu, H.M., Li, J.S., Kazemi, H., Huang, F., Goldblum, M., Geiping, J. and Goldstein, T., 2022. Cold diffusion: Inverting arbitrary image transforms without noise. arXiv preprint arXiv:2208.09392. [2] Xu, Y., Liu, Z., Tegmark, M. and Jaakkola, T., 2022. Poisson flow generative models. Advances in Neural Information Processing Systems, 35, pp.16782-16795.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Improved Techniques for Training Consistency Models","Keywords: Consistency Models, Consistency Training, Diffusion Models, Score-Based Generative Models, Score-Based Diffusion Models, Distillation","I think the paper has no major weaknesses. However, there would be opportunities to further improve the work:
I am wondering how scalable consistency models are with the proposed modifications. Can one train, for instance, text-to-image consistency models? Or how about training on higher-resolution images?
The new consistency models do not require LPIPS losses anymore and are thereby more general in that they are not limited to image synthesis anymore. It would be interesting to validate that consistency models can also be successfully trained on non-image data (e.g. audio, graphs, 3D, video, etc).
Conclusion: Overall, I think this is a good and solid paper. It significantly improves consistency models, a very promising new class of generative models, and the paper is overall well-written and of high quality. Hence, I recommend acceptance.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Provable Compositional Generalization for Object-Centric Learning","Keywords: compositional generalization, identifiability, object-centric learning, generalization, OOD generalization, unsupervised learning, slot attention, disentanglement, autoencoders, representation learning","The assumptions of compositionality and irreducibility are quite restrictive. Most real-world datasets likely violate these.
The additive decoder limits modeling of complex object interactions and relations.
The consistency regularization implementation requires sampling implausible object combinations. More principled schemes could improve results in complex environments.
Experiments only validate the theory on simple synthetic datasets. Testing on more diverse and realistic data would better demonstrate applicability, though the evaluation would also be more challenging.
The proposed methods, especially when ensuring encoder-decoder consistency and handling latent slots, might pose scalability issues for very large datasets or more complex models. A discussion on the scalability, computational costs, and potential solutions would make the paper more robust.","6: marginally above the acceptance threshold","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Provable Compositional Generalization for Object-Centric Learning","Keywords: compositional generalization, identifiability, object-centric learning, generalization, OOD generalization, unsupervised learning, slot attention, disentanglement, autoencoders, representation learning","It would be great if the assumptions could be relaxed, e.g., to handle occluded objects or to handle general latent variable learning domains other than the image objects.
The ""contemporary"" work [1] discussed most parts of this paper except for the generalizable encoder.
The experimental environment is simple with two-object synthetic images. It would be more convincing to see results on multi-object real images.
[1] S ́ ebastien Lachapelle, Divyat Mahajan, Ioannis Mitliagkas, and Simon Lacoste-Julien. Additive decoders for latent variables identification and cartesian-product extrapolation. arXiv preprint arXiv:2307.02598, 2023.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Provable Compositional Generalization for Object-Centric Learning","Keywords: compositional generalization, identifiability, object-centric learning, generalization, OOD generalization, unsupervised learning, slot attention, disentanglement, autoencoders, representation learning","Although they support the theory, the experiments are quite limited. For instance, these are all with only two slots with 16 dimensions each. See the questions section for additional information that would be interesting to see from experimentation.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Predictive auxiliary objectives in deep RL mimic learning in the brain","Keywords: hippocampus, neuroscience, cognitive science, deep reinforcement learning, representation learning, prediction","One important feature that isn't clear from what is presented in the paper is how the environment itself may or may not affect these results. I don't find any examples of what gridworld environments are being solved by these models, let alone how complex they are. Surely the predictability of the environment itself has some bearing on the rate of learning and retrainability for novel tasks, not to mention the quality of representations? Please provide examples of these environments. If possible, please consider varying the complexity of the environments.
minor:
Bottom of page 3 ""the standard double deep Q-learning temporal difference loss function"": Even though standard, please either provide the form of this loss or provide a reference.
page 4, just below figure caption, definition of positive sample loss: should o_{t+1} be z_{t+1}?
last sentence, first paragraph page 5: ""the predictive model is trained with..."" (No ""be"")
first sentence, section 4.2: remove ""is used"" at the end of the sentence.
first sentence, last paragraph on page 7: remove ""to"",I.e. ""undergo experience-dependent changes"".
last paragraph, page 8: ""remembering the previous trial type"". (Remove ""whether""), also empty reference at the end of that sentence.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Predictive auxiliary objectives in deep RL mimic learning in the brain","Keywords: hippocampus, neuroscience, cognitive science, deep reinforcement learning, representation learning, prediction","It's interesting to see in section 4.4 where the authors describe the effects of value learning in the encoder network, but this part feels somewhat disconnected from the rest of the paper, as the primary focus is to demonstrate how predictive objectives can lead to representation changes similar to those seen in the brain","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Predictive auxiliary objectives in deep RL mimic learning in the brain","Keywords: hippocampus, neuroscience, cognitive science, deep reinforcement learning, representation learning, prediction","The related works section is a little small/sparse. The authors do a good job in highlighting works on auxiliary predictive losses in RL within the machine learning realm, but I think there is also a growing body of work that is using this framework to produce various behavioral phenomenon in cognitive science/neuroscience. These are complimentary works to the current submission and would be good to include. Here are some examples that I feel should definitely be included:
Kumar et al. 2022 NeurIPS use auxiliary predictive losses in RL agents to predict abstractions of the observation, operationalized through language and symbolic programs, in order to reproduce abstract human biases.
Jensen et al. 2023 bioRxiv introduce a predictive auxiliary loss which helps the agent learn when to plan and reproduces replay patterns seen in rodent hippocampal work.
This is not exactly auxiliary predictive loss, but I think it is having the same effect, Binz & Schulz 2022 NeurIPS show adding a regularization term to the loss on the number of bits required to compress the agent's weights reproduces quirks in human exploration.
I think the clarity in some portions in this submission can be improved.
On page 4, the description of the auxiliary losses can be improved. Its an important part of the work so it'd be good to have this be as clear as possible. A sentence describing what exactly
τ
is representing and why
L+
is a loss term that enforces transition structure in the state representations would be very helpful. Also, for the third term in
L+
, shouldn't it be
τ(zt+1,at+1)
and not
τ(ot+1,at+1)
? For the negative sampling loss term, making it explicit
zi
and
zj
are latent representations of states that are not consecutive in the same area where the loss term is introduced would be helpful. It'd also be good to have a sentence explaining the motivation for choosing these two specific auxiliary losses. I suspect its loosely inspired by pattern completion vs pattern seperation in hippocampus (respectively) but it would be good to confirm that in this section.
It would be helpful to state what the colors in Figure 2D mean. It wasn't clear to me upon first read.
The memory component in page 8 is not explained at all. It seems important to describe what this is to put Fig. 4's results in context.
There are a couple of design decisions that left me a little confused (details in the questions section). It would be nice for the authors to clarify the motivations behind them.
Last, I don't think there was any section in the paper explicitly discussing the limitations of the work. I think this is an important part of any iclr paper so it'd be good to include one.
References:
Kumar, S., Correa, C. G., Dasgupta, I., Marjieh, R., Hu, M. Y., Hawkins, R., ... & Griffiths, T. (2022). Using natural language and program abstractions to instill human inductive biases in machines. Advances in Neural Information Processing Systems, 35, 167-180.
Jensen, K. T., Hennequin, G., & Mattar, M. G. (2023). A recurrent network model of planning explains hippocampal replay and human behavior. bioRxiv, 2023-01.
Binz, M., & Schulz, E. (2022). Modeling human exploration through resource-rational reinforcement learning. Advances in Neural Information Processing Systems, 35, 31755-31768.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning","Keywords: reinforcement learning, pre-training, goal-conditioned RL, open-world environments","Ablations are fairly limited and leave me with several unanswered questions that seem important to address given the technical contributions of the paper. Firstly, it is evident that too few clusters (10) fails to capture the diversity of the goal space, and that no clustering fails to learn at all. However, it is not clear to me what the breaking point would be in terms of number of clusters: would e.g. 5,000 clusters lead to similar or more diverse behaviors than 500 clusters, or would it collapse to similar performance as the no-clustering ablation? Similarly, it is not clear based on the ablation on the number of low-level steps that more than 100 steps (thus offloading more of the learning to behavior cloning rather than RL) would lead to worse behaviors. Given that the low-level policy is trained on a very large dataset, I imagine that behavior cloning over longer horizons, e.g., 1,000 steps, could still lead to very meaningful behaviors. Additionally, # of clusters and # of steps are highly dependent hyper-parameters given that they jointly balance how much of the behavior should be offloaded to the high-level RL policy vs. the low-level BC policy, but I didn't find any discussion or results that highlight this. Lastly, could the authors please clarify why the third ablation is conducted on Spider rather than the Log task like the two other ablations?
The paper is lacking in terms of implementation details on the proposed method + the baselines. It would be helpful if the paper was more self-contained and described the overall architecture etc. in the appendix rather than simply referencing prior work. Additionally, in cases where baselines are adapted to new domains yet fail completely (e.g., VPT for the Kitchen environment), I would appreciate if the authors could share some thoughts on why this might be, even if not backed by data.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning","Keywords: reinforcement learning, pre-training, goal-conditioned RL, open-world environments","The novelty of discretizing goal spaces is limited.
The baselines are not sufficient. There are many goal-conditioned RL methods that can be applied to offline pre-training, including continuous goals [1] and discretized goals [2]. The included baselines are not well selected. SPiRL was proposed in 2021, and VPT is not goal conditioned. Steve-1 is language-labeled which is used in quite different settings.
I don’t think the visualization in Figure 4 can support that the clustered goals are meaningful. You can always find images from different clusters representing different behaviors. What I would expect is that images clustered into the same group should present similar patterns.
[1] Rosete-Beas, Erick, et al. ""Latent plans for task-agnostic offline reinforcement learning."" Conference on Robot Learning. PMLR, 2023.
[2] Islam, Riashat, et al. ""Discrete factorial representations as an abstraction for goal conditioned reinforcement learning."" arXiv preprint arXiv:2211.00247 (2022).","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Pre-Training Goal-based Models for Sample-Efficient Reinforcement Learning","Keywords: reinforcement learning, pre-training, goal-conditioned RL, open-world environments","Relatively complex method with many steps: The presented method requires the learning of three separate networks: a low-level goal-conditioned policy, a high-level goal-generating policy and a goal prior model. This results in a lot of hyperparameters such as the appropriate horizon (k) as well as the weight on the intrinsic reward for the high-level policy (
α
). Additionally, the compression of the goal into a low-dimensional space is also driven by heuristics and requires the appropriate choice for the number of goals to cluster into. Applying this algorithm into a new domain will not be straightforward and would require significant engineering work. However, I acknowledge that if an end-user puts in the engineering effort, then this method can have very strong performance in a new domain.
Novelty: PTGM draws on several ideas from existing work by Pertsch et al.[1]. It would be helpful to get a better understanding of the similarities and differences between the two methods to judge the novelty of the work.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
