"Papers_Title","Papers_Keywords","Papers_OfficialReview_list1_StrengthandWeakness","Papers_OfficialReview_list1_Rate","Papers_OfficialReview_list1_Confidence"
"The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions","Keywords: Neural networks, global optimization, convex optimization, convex analysis","Strengths. I find the results to be novel extensions of of Pilanci and Ergen from 2020 and important theoretically: characterization of the global and local optimum points of the objective function.
Weaknesses. The paper only considers a single-hidden later. Can this analysis method be extended to multiple layers?
Several typos and corrections I found:
The upper bound in the rightmost summation in equation (1) should be 'm' not 'd'.
Page 1, penultimate line, no definition for
Ci
for
i∈[p+1,2p]
is given.
Page 3, Section 1.3, first paragraph, third line:
Fix the mismatching brace.
I believe the
σ
should be dropped.
The
1(Xu≥0)=s
seems to be a slightly different definition of the cone corresponding to
s
than the original definition in page 1. Namely, the entries of
Xu
corresponding to
0
's in
s
are required to be negative in this definition and nonpositive in the definition in page 1.
In equation (5), B(u_j, \alpha_j) has vectors with
d+1
entries (the last entry comes from
R>0
or
R<0
from the definition of
Bi
) and
Ci
has vectors with
d
entries, so the containment under the summation doesn't make much sense here.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions","Keywords: Neural networks, global optimization, convex optimization, convex analysis","First of all I have to say this is a very interesting theoretical paper and is the best among all submissions I have reviewed in ICLR 2022. This paper reveals an interesting hidden convexity structure in two-layer ReLU neural networks by mapping minimal neural networks to a convex optimization problem and vice versa. The construction of the mapping is clean and elegant. The idea of connecting non-convex loss landscape with convex optimization can potentially be further explored to explain the success of deep learning. This paper is strong enough and I do not see much weaknesses. But I left to the authors few minor comments which can be seen as future considerations.
The first comment that comes to my mind is how the results obtained in the paper can be generalized to neural networks with other activation functions. It seems that the positive homogeneity of ReLU is the key to derive the convex programming problem. Can the authors comment on whether (and how) it is possible to establish similar results for smoother activation functios, e.g.
ReLUk
or Sigmoid?
Can the authors comment on whether and how the results can be extended to deep ReLU neural networks?
Some relevant references are missing.
Huiyuan Wang, Wei Lin, Harmless Overparametrization in Two-layer Neural Networks, arXiv:2106.04795.
Quynh Nguyen, On the Proof of Global Convergence of Gradient Descent for Deep ReLU Networks with Linear Widths, arXiv:2101.09612.
Quynh Nguyen, Pierre Brechet, Marco Mondelli, When Are Solutions Connected in Deep Networks?, arXiv:2102.09671.","none","8: accept, good paper"
"The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions","Keywords: Neural networks, global optimization, convex optimization, convex analysis","Strengths:
Interesting observations about and practical ways for constructing the optimal neural network set from the solution of the convex cone program.
The paper is mostly well-written and organized, and technically precise.
The analysis is mostly clean and easy to follow, which may be of interest for addressing related sets of nonconvex problems.
Weaknesses:
The (or similar) regularized convex formulation has been studied in previous works, see e.g., Pilanci & Ergen (2020), Ergen & Pilanci (2021) among several recent others by Pilanci et al. Though a more-in-dept analysis as well as theoretical observations are provided, how technically novel and practical useful of these results shall be further compared and elaborated.
Ergen, Tolga, and Pilanci, Mert. ""Convex geometry of two-layer ReLU networks"", 2021.
A number of related efforts dealing with learning two-layer ReLU networks by analyzing or modifying the landscape through introducing regularization terms are missing in the discussion; see e.g., Wang et al, 2019. Learning ReLU networks on linearly separable data: Algorithm, optimality, and generalization. Moreocver, the contributions can be considerably enhanced by providing experimental validations across different tasks such as regression, or classification tasks.
One of the key difficulties in deep learning theory is that learning of deep neural networks is nonconvex due to their compositional structure. How would the results extend to deep neural networks?","NA","8: accept, good paper"
"The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions","Keywords: Neural networks, global optimization, convex optimization, convex analysis","Strengths of the paper:
The authors provide a complete characterization of the global minima to the nonconvex 2-layer ReLU network training problem, in terms of the solutions of a convex program
The approach does not rely on duality and/or lifting perspectives of previous convex perspectives on neural network training
The approach provides an algorithm for testing optimality of a neural network in the studied context
The work provides significant extensions of the work upon which it is based
Weak points of the paper:
The method only applies to 2-layer neural networks with ReLU activation and weigh decay. It is a great contribution that may inspire further developments to weaken these assumptions.
Questions for authors:
One of the technical themes of the paper is the idea of minimal / nearly minimal networks. Several of the theorems are stated explicitly in terms of nearly minimal networks. Is it necessary to have minimality in the theorem statements? That is, could the primary claims be stated without reference to minimality (and where minimality would be a technical detail in the proofs)?
Additional feedback with the aim to improve the paper:
In the model there are no bias terms. I presume this is because they can be tucked into X with a row of 1's. Perhaps this is worth a comment in the paper.
Typo: Sec 1.3 ""neruons""","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics","Keywords: Reinforcement Learning Theory, Invariant Representation, Rich Observation Reinforcement Learning, Exogenous Noise, Inverse Dynamics","Strengths:
EX-BMDPs seem to capture several popular simulated distractors that are currently being used in applied RL papers, such as random video backgrounds in MuJoCo tasks. I suspect the fact that the exogenous dynamics are relatively unconstrained will also make them a good model for practical tasks. The requirement for near-determinism in the endogenous dynamics is unfortunate, particularly given that it applies to the initial state distribution as well (often you want to perform well over a distribution of similar-but-not-identical tasks). However, I think this is not a major concern for exploration methods: so long as the possible initial states are reachable from some common starting state within
H
steps, PPE will eventually explore them.
The fact that it is possible to obtain a sample complexity bound completely independent of the complexity of
Ξ
was surprising to me given the relatively complex form of exogenous noise in an EX-BMDP, and shows that the EX-BMDP class is at least tractable.
The clarity of writing was appreciated, particularly when stating assumptions and comparing against past algorithms.
Weaknesses:
I noticed that RND is missing from Section 3/Appendix A (shortcomings of existing methods), but does surprisingly well on the combination lock problem. Is it possible to give some intuition for where RND fails in general?
The visual gridworld experiments are a little confusing. The takeaway seems to be that PPE drives accuracy to ~100% eventually on a less-toy problem. However, there are no baselines, so it is hard to determine how significant this achievement is. It would be useful to see how the baselines from Figure 2 fare in this setting, particularly in terms of sample efficiency.","8: accept, good paper","2: You are willing to defend your assessment, but it is quite likely that you did not understand the central parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics","Keywords: Reinforcement Learning Theory, Invariant Representation, Rich Observation Reinforcement Learning, Exogenous Noise, Inverse Dynamics","STRENGTHS
(S1) The problem of efficiently learning in high-dimensional observation spaces is a good one, and the authors provided an excellent discussion of the technical components of this problem in the early parts of the paper. I thought the definition and presentation of the EX-BMDP was particularly good.
(S2) I appreciate the authors providing experimental results to show that PPE performs well in some regards.
WEAKNESSES
(W1) I'm afraid I found the discussion of PPE to be a bit difficult to decode. Even looking at Algorithm 1, I find myself with a number of important questions unanswered, chief among them being ""what about
ϕe∗
""? It strikes me as odd that nowhere in this algorithm are the inverse mappings from observation to exogenous/endogenous state represented or used. Why is this?
(W2) I'm a little concerned with the computational tractability of the algorithm. My understanding from the paper is that one seeks some sort of ""covering"" of the state space--in what sense is it practical to obtain and/or store this covering? If the problem setting consists of high-dimensional observations this seems especially challenging.
(W3) From my naive perspective, it seems that the ultimate goal here is to use PPE and then actually perform reinforcement learning. However, I didn't understand from the brief discussion at the end of Section 4 (or, frankly, from reading the Appendix) how exactly that would be accomplished. I feel this is important enough that it should appear in the main paper.
POST-DISCUSSION COMMENTS
During the discussion, I feel as though the authors adequately addressed each of the issues I raised above, and so I'm happy to raise my score to accept.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics","Keywords: Reinforcement Learning Theory, Invariant Representation, Rich Observation Reinforcement Learning, Exogenous Noise, Inverse Dynamics","Strengths:
The problem setting is important and seems to be relevant to many real-world problems.
While the idea of using inverse dynamics and even multi-step inverse dynamics [1] to learn representations in these types of environments to learn controllable representations is not novel, this paper provides a theoretical basis for this choice, which I think is valuable.
I found sections 1 through 5 to be very well written.
Weaknesses:
In the experiment section, it seems as though you are testing the planning/policy learning abilities with PPE in both of the environments. However, as far as I can tell, there is no indication of how you perform this planning in PPE in the main text. The paper simply switches from talking about learning policy covers to showing regret for environments with only a small mention of the fact that you could plan using the data collected with PPE. The way the experiments are run and the choice to test the planning performance / how the state representations are obtained in experiments should be explained in more detail in my opinion.
The paper discusses prior works with inverse dynamics seemingly only in the context of their applications in representation learning in two prior works on exploration. I think the application of multi-step inverse dynamics in goal-conditioned environments described in [1] is worth mentioning, since for a fixed goal this algorithm seems like it is doing something similar to PPL. Related is the lack of a ""related works"" section in the paper, which would be helpful for framing PPL in the context of prior works.
There is no conclusion section, which I feel would improve the paper.
My major questions are:
How is the policy learning done in the experiment section? How are representations found in the decoding accuracy plot?
How does this paper relate to prior works on inverse dynamics?
[1] Paster, Keiran, et al. Planning from Pixels Using Inverse Dynamics Models. 2020. openreview.net, https://openreview.net/forum?id=V6BjBgku7Ro.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics","Keywords: Reinforcement Learning Theory, Invariant Representation, Rich Observation Reinforcement Learning, Exogenous Noise, Inverse Dynamics","The paper is very well motivated. It has convinced me that being invariant to exogenous noise is important and that the EX-BMDP is useful abstraction for making this problem concrete. It is also very clearly presented. The argumentation is clear, and the flow of the paper is quite natural. Even the lengthy appendix is fairly easy to parse, with straightforward proofs and relevant details (e.g. specific claims about the unsuitability of alternative approaches).
One shortcoming is potential impact / applicability. I'm not convinced that environments with single starting states and near-deterministic dynamics is a very rich problem class. Or more specifically, I'm not convinced that restricting myself to this class would be preferable to working in the full space of MDPs with e.g. the possibility of aliasing a few states with a single-step inverse-dynamics approach. I am aware that impact is very hard to predict in advance, so I won't let this aspect unduly affect my scoring. And I'm convinced that even if PPE is never used in practice, this paper should still be accepted for its useful problem formulation and theoretical results. But a quick read would leave one with the impression that the alternatives (e.g. contrastive learning, inverse dynamics, bisimulation metrics) flaws outweigh their considerable advantages (e.g. applicability with stochastic dynamics) -- explicitly noting where alternative approaches are preferable would be appreciated.
I also noticed what I believe to be an omission in your related works: mutual information / empowerment based methods. ""Variational Information Maximisation for Intrinsically Motivated Reinforcement Learning"" seems particularly related in its search for predicable action sequences. And the follow-up work ""Variational Intrinsic Control"" appears to be a multi-step inverse dynamics analog that doesn't require open-loop policies. If you can show that these approaches are flawed in a way that PPE is not, then that would considerably raise my assessment of this work. And even if not, I believe this field (if not these specific works) should be acknowledged, as they similarly attempt to learn what in the environment is controllable.
While I agree that PPE is applicable in no-reward situations whereas bi-simulation metrics are not, your experiments all involve rewards, so I'm surprised a bi-simulation metric method was not included as a baseline.
While this isn't necessary for acceptance, it is worth noting that prior work has established much more challenging benchmarks for evaluating the representation of exogenous noise, and utilizing a pre-existing benchmark would make your empirical results considerably more impressive.
This is a small point, but it is not initially obvious why inverse dynamics fails on the combination lock problem. Does alliasing occur just when e.g. s_2a --> s_3a and s_2b-->s_3b have the same action?","8: accept, good paper","5: You are absolutely certain about your assessment. You are very familiar with the related work and checked the math/other details carefully."
"Bootstrapped Meta-Learning","Keywords: meta-learning, meta-gradients, meta-reinforcement learning","Originality: The method proposed in the paper is, to the best of my knowledge, novel. The related work section adequately connects the algorithm with existing work in similar directions.
Significance: The empirical results show considerable improvement w.r.t. well-performing baselines; moreover, the general idea behind the method could inspire future research.
Rigour: Both the theoretical results and the experimental protocols seem sound and solid to me.
Strengths
The method is based on a conceptually compelling and inspiring idea.
The empirical results are remarkable. The ablations and additional experiments (also from the Appendix) help in understanding what matters in the practical algorithm, as well as highlighting the important parts of the contribution.
In particular, being able to meta-learn hyperparameters for a behaviour policy can open up new avenues for exploration in reinforcement learning.
The theoretical results have a clear scope (although not so large) and provide some easy to understand local improvement guarantees.
The paper is well-written and generally easy to follow.
Minor Concerns / Questions
I believe the name matching function makes the presentation of the method a little bit harder to digest. Since the function is a pseudometric (i.e., the larger it is, the larger the distance from the target), it should really be called with a name that reminds the reader of this nature (e.g., mismatch function).
I enjoyed the theoretical results, but it is a pity that they only deal with targets of specific forms and, especially, with
L=1
only. Ideally, theoretical result with a dependency on
L
would shed some light on the benefits and limitations of longer bootstrapping horizons.
Can the authors elaborate on the connection between the way the bootstrapping target is formed in their method and traditional temporal difference learning? In particular, the grounding role of that subtracted gradient ""nudging the trajectory in a descent direction"" is the same as the one of the reward in temporal difference learning; but, while the reward is at the beginning of the trajectory, the grounding is here at the end of the optimization subtrajectory. Is there any mathematical connection beyond the general shared motivation?
As briefly touched upon in some passages of the paper, when the underlying function is highly nonlinear, there is the risk that the bootstrapping mechanism can lead the optimization process in worse areas of the landscape. For instance, if the function in Figure 1 had a bump/plateaux where
w~
is, the bootstrapping mechanism would cause more troubles than standard meta-gradients. Why is this not happening in practice?
After rebuttal: I am happy with the answer the authors provided and the update to the paper, which will help the readers understand the relationship between the proposed method and TD-learning. Overall, the improvements make me believe that this paper should be highlighted at the conference, to give other researchers working in the field the possibility to get inspired by this new idea. I am thus raising my score to 10.","10: strong accept, should be highlighted at the conference","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Bootstrapped Meta-Learning","Keywords: meta-learning, meta-gradients, meta-reinforcement learning","‌Originality
The paper is original and novel, proposing a new algorithm to overcome two shortcomings of standard meta-optimization algorithms: curvature mismatch and limited evaluation.
Quality
The paper is technically sound, and claims are backed by solid experiments in the reinforcement learning and multi-task meta-learning evaluation setting.
Clarity
The paper is clear, however, the algorithm description in section 3 is very abstract. I think the paper would benefit from a running example and a dedicated section and pseudo-code describing the algorithm and how it can be instantiated in different experimental settings.
Significance
The work is significant and will benefit the reinforcement and meta-learning community by addressing some of the limitation of the current meta-learning algorithms.
Limitations
The theoretical analysis is limited to noiseless 1-step target updates.
The experimental evaluation in the multi-task meta-learning setting is limited to only compare with MAML on computer vision applications.
Questions to Authors
Some engineering / handcrafting is still required by the machine learning practitioner to select what ""target"" the meta-learner is going to optimize, as well as the proper ""metric"" for the meta-learner to optimize for. Could the authors comment a bit about what heuristics they used when making these decisions? and whether the automation for this process is possible or not?
What would it take to extend the analysis beyond 1-step noiseless target updates?
How does the performance of BMG compare to alternative meta-learning algorithms like R2D2, Meta-OPT-net and prototypical networks? Have the authors experimented with other meta-learning benchmarks beyond image classification?
Minor Typos
Abstract: ""show that metric"" -> ""show that a metric""","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Bootstrapped Meta-Learning","Keywords: meta-learning, meta-gradients, meta-reinforcement learning","Strengths
The proposed idea is simple.
The writing is clear.
To my knowledge, the proposed idea is novel yet concretely linked to many past works by virtue of generalizing them. The authors give the precise form to recover MG from BMG.
The proposed idea results in strong improvement of the STACX agent in Atari-57, resulting in a state-of-the-art result (caveat: for model-free agents; the gap to model-based agents remains large).
The authors demonstrate that the proposed idea is suitable in few-shot image classification, a popular application of meta-learning for few-shot learning.
The authors run informative ablation studies that support the intuition behind the benefit of BMG: resolving curvature and mitigating myopia.
Weaknesses
Given that you say BMG is compatible with any update function (so long as it is differentiable in the meta-parameters), it would be nice to have some experiments on learned sequence model update rules (e.g. RNN). All current experiments use update rules with a fixed functional form.
I am not putting much weight on section 4 (""Performance Guarantees"") given the gap between its assumptions and results vs. what is actually implemented, and the restriction to local optimization.
Minor comments
p. 3, target bootstrap paragraph, 3rd line: are we missing a learning rate for the expression of the target?
p. 5, the actor-critic RL objective and Eq. 4: as-is, we are always minimizing policy entropy; is there a sign error?","10: strong accept, should be highlighted at the conference","5: You are absolutely certain about your assessment. You are very familiar with the related work and checked the math/other details carefully."
"Bootstrapped Meta-Learning","Keywords: meta-learning, meta-gradients, meta-reinforcement learning","Strengths
The paper is generally clear and well written. It is content dense in and certain areas would benefit from more detailed discussions. However, the appendices are very detailed and provide answers to almost all of the questions that arise during first reading. In my suggestions below I’ve highlighted a few areas I feel this content would be especially beneficial (and one pare where the main text could be stripped-back as there is always a trade-off with fixed page limits).
The key ideas of BMG, bootstrapping a target to combat myopic MG updates and using matching functions to improve the meta-learning dynamics, are novel and well motivated. I strongly believe that these ideas will be of interest to the broader meta-learning community and will likely lead to multiple future research directions.
The empirical results are strong and thorough. The toy-model grid world in Sec 5.1 effectively highlights key properties of the proposed algorithm — such as the ability of BMG to exploit longer meta-learning horizons — and extensive testing on Atari environments (Sec 5.2) shows a significant improvement of STACX and leaves little doubt of the efficacy of BMG for self-tuning algorithms. Moreover, the demonstrated performance improvement of BMG over MAML (sec 6) suggests broad possible applications and further endorses the proposed algorithm.
BMG also has a couple of nice properties besides raw performance: (i) achieving less myopic updates without having to backpropagate through many update steps of the inner-loop parameters and (ii) allowing for the meta-learning of “behavioural parameters” that are not used in the learning rule (exploration epsilon is used as the example). Whilst (i) is clearly desirable in the pursuit of computational efficiency, (ii) is very intriguing and opens the door to new applications of meta-learning (indeed, whilst it is mentioned in the abstract and summaries, I believe this point is slightly undersold in the main text and that this experiment could be presented in more detail than the single paragraph at the end of Sec 5.1 it is given — however, given the page limit I can understand the authors predicament).
Weakenesses
My primary concern is not with the content of the paper, but that the it can be quite difficult to intuitively link the numerous experiments back to intuition or interpretation of the results. I believe this was largely because the exact methodologies are difficult to follow and, indeed, I found it was essential to refer to the appendices repeatedly to fully unpack the experiments and appreciate the results. Whilst I am sympathetic to space constraints, I believe the authors would be well served to provide more detailed descriptions in the main text or, ideally, an algorithm box.
I find the implementation and implications of the experiment on multi-task few-shot learning (Sec 6) unclear in the following regards:
I do not understand the intuition of why a “hot” expert transforms more information than a “cold” expert, and, moreover, why BMG is able to use this to improve performance. Could the authors clarify these points.
I feel this section in particular suffers from a lack of formal introduction of the task and methodology. For example, the adaptation seems to be defined as a single step, whereas the appendix (D.2) notes that 10 are used during meta-testing. Concretely, I think a formal description of the training procedure for BMG would be appropriate in the main text.
I do not find the analysis presented in Sec 4 (“Performance Guarantees”) especially insightful. My reading is that, whilst the MG update presented in Lemma 1 can guarantee local improvement, practical implementations of BMG do not. Empirically, however, grounding the bootstrapped target with a single final step on the meta-objective is sufficient for good performance. This conclusion is evident from the experiments themselves, and so I would have no issue if Sec 4 was in the appendix.
Errata
Sec 3, paragraph starting “To tackle myopia…”: the inline equation for
x~
is missing brackets around the step counters for
x(K+L−1)
.
Sec 5.2, second last paragraph: typo - “K is more sensitive curvature and the quality of data”.
Sec 6, sub-section BMG: typo - “raising the temperature in the expect allows”.
Sec 6, sub-section Setup: typo - “For 50 meta-updates and beyond..”: this should be 50k meta-updates I believe.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Coordination Among Neural Modules Through a Shared Global Workspace","Keywords: slot based recurrent architectures, attention, transformers, latent bottleneck.","I enjoyed reading this paper! I think the strengths fall into three main categories: good problem setup that took the reader from concept to formulation well, an interesting idea with good scoping, and an impressive experimentation suite. More details:
Good problem setup: I found the discussion of advantages of a shared workspace compelling. The proposed structure is intuitive and simple, but nonetheless convincing about its claimed advantages of higher-order communications, dynamic filtering, and complexity advantages. The qualitative parts of the writing are strong, effectively building a case for reading this paper.
Interesting idea with good scoping: I appreciate that this is one architectural change that considers all inputs and outputs, and shows its advantages over the right baselines. This work avoids the trap of making minor changes and then being unable to really ablate them. The paper does seem to be a unification of existing ideas, but I distinguish that from (and prefer it over) merely concatenating existing ideas.
Impressive experimentation suite: There are of course many experiments with thematic consistency, which is great - always better than papers with two testbeds and virtually the same experiment over and over. The first four testbeds make a nuanced point about sparse inputs, and the results on Atari are particularly exciting because they make a general claim and show significant improvement.
My critiques are as follows, in order of significance:
Content
Main critique: the goals of this paper seem to be to show that accuracy and performance improve overall, with a mechanism of higher order communications, dynamic filtering, and linear complexity that we will be convinced are attributes of the SW. This paper doesn't quite get there, though it gets part of the way there.
From my understanding, Triangles, CATER, and Sort-of-CLEVR all tell us that the higher-order communication and single channel will help identify relevant information earlier in the pairwise communication, leading to faster convergence - if information is sparse in the input. The MNIST generation experiment tells us something similar about independent regions in inputs. Figs 4 and 5 are convincing to this end. However, the main claim - higher-order communication and a sparser connection of graphs - help for inputs with sparse information in various locations - is less surprising than a claim of general improvement. Even if that's still interesting (it is), the intro and conclusion seem to make a more general claim. Physical reasoning and Atari show more general improvement (and the results on Atari are impressive), but they're also the weakest, most qualitative parts of Sec 4. The ideal solution would be more robust testing of general improvement in these two testbeds, but if not then I would at least appreciate a claim that acknowledges the common and specific nature of the first four testbeds.
This is the crux of the motivation behind my score: I worry that this paper overstates its claim and the real claim is elegant but not that surprising. It's made even murkier by a couple promising results that receive little attention.
Relatedly, the Atari section makes a claim about considerable improvement due specifically to more appropriate modularization. That would be cool and a real testament to this approach, but I would need more specific experimentation to demonstrate that the effect really was more appropriate modularization.
Presentation
The mathematical formulation is quite clear, but it's not presented clearly. I had to puzzle over the paragraph for a while, not because it was overly complicated but because it took a lot of treasure hunting to find all the parts and put them together. The issue is that the Notation and Step 1/2/3 sections write the math into large blocks of text without pause. It would be more helpful to present some end-to-end equations, then break those down in text. It can be unclear without doing it myself whether something is being element-wise updated, transformed, dotted, etc.
I really appreciate the slew of testbeds. However, that's how they come across: a laundry list of experiments, one after another, even though they support similar claims. That robustness can be shown by having a claims-driven structure for the results section rather than a testbed-driven structure, which to the reader is arbitrary and doesn't deliver the important information as well as it could. E.g. section titles like ""Performance advantage on sparse data"", then talk about the different results that show it. If one experiment shows multiple advantages, multiple sections can still point to the same figures.
The figures are confusing - they are cramped, small, and have lots of acronyms I have to hunt down in various parts of the paper. They're all helpful content-wise, but this could be shown better with something as simple as better aesthetics and tagging.
Nit: the text seems to switch between ""specialist"" and ""neural module"". Are these the same thing? Is ""specialist"" an abstraction/metaphor for ""neural module""? Is ""neural module"" an example of ""specialist""? All of those are great, just signpost and explain the switch.","6: marginally above the acceptance threshold","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Coordination Among Neural Modules Through a Shared Global Workspace","Keywords: slot based recurrent architectures, attention, transformers, latent bottleneck.","Strengths
Interestingness of the approach
The proposed method is appealing since it applies a theory from cognitive science (the global workspace theory) to information processing in networks. The implementation of the idea is quite simple - individual ‘specialist’ units interact with a shared memory layer instead of with each other directly, and the shared memory then broadcasts information back to each of the specialists. The exact means by which this interaction is carried out is by using key-value attention. This approach when applied to transformers leads to much higher computational efficiency (linear instead of quadratic in the sequence length). Further research in probing similar ideas for much more efficient information processing, backed by ideas from cognitive science, would be very beneficial for the field in my view and this paper would help the community in that regard.
Experimental Evaluation
The paper includes exhaustive experimental evaluation over 5-6 environments (including object tracking, and relational reasoning) where the solution requires considering a small portion of the input data, the authors demonstrate that adding the shared workspace model to attention based architectures like Transformers and RIMs leads to superior asymptotic performance, and faster learning. These environments include object tracking (CATER), relational reasoning (sort of CLEVR) and Atari games. The authors also include details about the experiments and algorithm implementation in the appendix, which will aid in reproducibility.
Weaknesses
Unclear if the approach will scale to larger, more unstructured datasets (where current attention based architectures have already been shown to thrive)
Most of the experiments considered involve problems that only require a small portion of the input to be solved (eg: just the patch with the points for the equilateral triangles, or just the target object for Cater object tracking). I am concerned whether the framework proposed here will also be effective in settings where this is not necessarily the case, such as general modeling of language and images. For example, adding shared workspace to transformers imposes a communication bottleneck between representations at different positions of the sequence. It is possible that for problems where the solution does not depend on only a small portion of the input, considering the pairwise relationships of representations at every point in the sequence is critical for good performance. To study this, the shared workspace model would have to be evaluated on larger, more unstructured datasets, where transformer based architectures have already been demonstrated to do well (for example the data on which GPT-2 was trained). Adoption of this approach would be much more widespread if the authors can demonstrate that on these larger datasets, training transformers with the shared workspace doesn’t lead to worse performance than training the regular transformer based models that are currently used.","6: marginally above the acceptance threshold","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Coordination Among Neural Modules Through a Shared Global Workspace","Keywords: slot based recurrent architectures, attention, transformers, latent bottleneck.","Strengths:
The paper is written very well. The introduction provides a good motivation and challenges and illustrates the use cases clearly using examples. The related work compares the proposed approach with other memory-based neural models. The description of methods is concise, but sufficiently detailed.
The proposed approach is original to the best of my knowledge. The key idea is very intuitive and motivated by insights from cognitive science literature.
The authors perform experiments on a wide variety of tasks including a toy task for detecting equilateral triangles, multi MNIST Generation, object tracking, relational reasoning, physical reasoning and Atari video games. I also like that the authors use different types of backbones (Transformers and RIMs) in different experiments which indicates the proposed Shared Workspace method is not specific to certain kind of backbones.
Weaknesses:
Although the authors perform experiments with wide variety of tasks, multi-agent tasks are missing where I believe coordination is more important. In all the tasks used in the paper, different neural modules process different parts of the input to make a common prediction. Multi-agent tasks are more challenging as each agent would get a different input but also predict a different action.
It is unclear how certain hyper parameters are chosen. For example why is the patch size 4x4 in equilateral triangles, 6x6 in object tracking? The number of memory slots, size of memory slots, etc. different across different experiments. How are these chosen?
The authors propose two versions of Shared Workspaces, soft and hard (SSW and HSW). Some experiments one contain a single version. Why are both SSW and HSW not evaluated in all the experiments?","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Coordination Among Neural Modules Through a Shared Global Workspace","Keywords: slot based recurrent architectures, attention, transformers, latent bottleneck.","Strengths
Novel and significant contribution by proposing a new mechanism for inter-subnets information exchange/learning.
Of high relevance to the ICLR community. The generic approach cuts across different AI discipline as the experiments are performed on vision, language and reasoning tasks.
Experiments are comprehensive and well-explained.
Weaknesses Minor: Some technical details are not elaborated for readers who are less familiar with the respective topics. For example, the section on the key-query-value attention mechanism is quite brief. It's the key contribution on the success of the proposed approach.","No concerns.","10: strong accept, should be highlighted at the conference"
"Data-Efficient Graph Grammar Learning for Molecular Generation","Keywords: molecular generation, graph grammar, data efficient generative model","The proposed method is novel and opens potential for new line of research in graph grammar. I personally find the submission to be clear and well-written. Overall, I am positive and would like to give a ""accept"".
However, I have few more comments that I hope to help improve the paper. Several of them are around the modeling choices and some of them are to clarify my understanding of the practical usefulness of the proposed method.
The proposed method uses pretrained graph neural network to generate the sampling weights and claim that this can be replaced by any plug-and-play feature extractor. Can the authors provide data to support this claim? If this is actually true, I would suggest to use the simplest feature extractor to keep the proposed method clean.
Is the REINFORCE algorithm stable across random seeds? My hunch is that they are not. Can the authors provide error bars in for their data? Can the authors provide convergence curves to demonstrate the learning?
While the proposed method is efficient, I have the impression that it does not scale up well to more data (the authors have to subsample the training set for the experiments in Table 3). My first request is for the authors to report the actual computation time for the proposed method on the experiments they have done. Second, aside from the computational challenge, can the proposed algorithm benefit from more data? If so, can we estimate how much we can gain by including the whole training set of the large polymer dataset?","None","8: accept, good paper"
