,Title,Topics,Weakness,Review_Rating
36,Randomized Automatic Differentiation,Optimization and Training Techniques,Missing Related Work and Comparisons,7.5
37,Rao-Blackwellizing the Straight-Through Gumbel-Softmax Gradient Estimator,Biological Applications in AI,Clarity and Readability Issues,7.333333333333333
38,Rethinking Architecture Selection in Differentiable NAS,Unclassified,Missing Related Work and Comparisons,7.75
39,Rethinking Attention with Performers,Transformers and Sequence Modeling,Clarity and Readability Issues,7.5
40,Rethinking the Role of Gradient-based Attribution Methods for Model Interpretability,"Interpretability, Explainability, and Evaluation",Clarity and Readability Issues,7.5
41,SMiRL: Surprise Minimizing Reinforcement Learning in Unstable Environments,Reinforcement Learning and Control,Missing Related Work and Comparisons,7.25
42,Scalable Learning and MAP Inference for Nonsymmetric Determinantal Point Processes,Optimization and Training Techniques,Clarity and Readability Issues,8.0
43,Score-Based Generative Modeling through Stochastic Differential Equations,Diffusion Models and Generative Modeling,Methodological Concerns and Theoretical Justifications,8.0
44,Self-training For Few-shot Transfer Across Extreme Task Differences,Optimization and Training Techniques,Clarity and Readability Issues,7.25
45,SenSeI: Sensitive Set Invariance for Enforcing Individual Fairness,"Fairness, Ethics, and Privacy",Clarity and Readability Issues,7.0
46,Share or Not? Learning to Schedule Language-Specific Capacity for Multilingual Translation,Transformers and Sequence Modeling,Experimental Weaknesses and Limitations,7.75
47,Theoretical Analysis of Self-Training with Deep Networks on Unlabeled Data,Optimization and Training Techniques,Clarity and Readability Issues,8.0
48,Towards Nonlinear Disentanglement in Natural Data with Temporal Sparse Coding,Time Series and Temporal Modeling,Clarity and Readability Issues,8.25
49,VCNet and Functional Targeted Regularization For Learning Causal Effects of Continuous Treatments,Causal Discovery and Inference in Reinforcement Learning,Clarity and Readability Issues,6.666666666666667
50,What Matters for On-Policy Deep Actor-Critic Methods? A Large-Scale Study,Reinforcement Learning and Control,Missing Related Work and Comparisons,8.0
51,When Do Curricula Work?,Unclassified,Methodological Concerns and Theoretical Justifications,7.666666666666667
52,Why Are Convolutional Nets More Sample-Efficient than Fully-Connected Nets?,Unclassified,Clarity and Readability Issues,7.25
